model	parname	begin	num	default	type	pim.type	link	formula	share	pair	mix	rows	secondary	bystratum	tostrata	sub.stratum	leave.unused	socc	subset	events			
HetRDMS	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
HetRDMS	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE	TRUE									
HetRDMS	p	0		0	Square	all	logit	~1			TRUE	0	TRUE	TRUE									
HetRDMS	f0	0			Square	all	log	~-1+stratum:session			FALSE		TRUE	TRUE									
FHetRDMS	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
FHetRDMS	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
FHetRDMS	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE	TRUE									
FHetRDMS	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE	TRUE									
FHetRDMS	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE	TRUE									
FHetRDMS	f0	0			Square	all	log	~-1+stratum:session			FALSE		TRUE	TRUE									
HHetRDMS	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
HHetRDMS	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
HHetRDMS	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE	TRUE									
HHetRDMS	p	0		0	Square	all	logit	~1			TRUE	0	TRUE	TRUE									
HFHetRDMS	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
HFHetRDMS	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
HFHetRDMS	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE	TRUE									
HFHetRDMS	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE	TRUE									
HFHetRDMS	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE	TRUE									
CRDMSOHug	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
CRDMSOHug	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
CRDMSOHug	Omega	0	0		Square	all	mlogit	~1					FALSE	TRUE		1							
CRDMSOHug	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE	TRUE									
CRDMSOHug	c	1	-1	0	Square	all	logit			p			TRUE	TRUE									
CRDMSOHet	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
